Frame,Visibility,X,Y,Time
0,1,902,305,0.0
1,1,910,291,0.04
2,1,912,282,0.08
3,1,914,276,0.12
4,1,913,271,0.16
5,1,914,269,0.2
6,1,914,268,0.24
7,1,915,267,0.28
8,1,915,266,0.32
9,1,916,265,0.36
10,1,915,265,0.4
11,1,914,266,0.44
12,1,914,268,0.48
13,1,913,270,0.52
14,1,913,273,0.56
15,1,914,268,0.6
16,1,914,268,0.64
17,1,914,268,0.68
18,1,914,268,0.72
19,1,914,268,0.76
20,1,914,268,0.8
21,1,914,268,0.84
22,1,914,268,0.88
23,1,914,268,0.92
24,1,914,268,0.96
25,1,914,268,1.0
26,1,914,268,1.04
27,1,914,268,1.08
28,1,914,268,1.12
29,1,914,268,1.16
30,1,914,268,1.2
31,1,914,268,1.24
32,1,914,268,1.28
33,1,914,268,1.32
34,1,914,268,1.36
35,1,914,268,1.4
36,1,914,268,1.44
37,1,914,268,1.48
38,1,914,268,1.52
39,1,914,268,1.56
40,1,914,268,1.6
41,1,914,268,1.64
42,1,914,268,1.68
43,1,914,268,1.72
44,1,914,268,1.76
45,1,914,268,1.8
46,1,914,268,1.84
47,1,914,268,1.88
48,1,914,268,1.92
49,1,914,268,1.96
50,1,914,268,2.0
51,1,914,268,2.04
52,1,914,268,2.08
53,1,914,268,2.12
54,1,914,268,2.16
55,1,914,268,2.2
56,1,914,268,2.24
57,1,951,336,2.28
58,1,962,367,2.32
59,1,970,415,2.36
60,1,951,490,2.4
61,1,982,536,2.44
62,1,996,561,2.48
63,1,990,576,2.52
64,1,989,574,2.56
65,1,993,558,2.6
66,1,982,540,2.64
67,1,977,517,2.68
68,1,967,496,2.72
69,1,960,480,2.76
70,1,951,467,2.8
71,1,945,457,2.84
72,1,939,450,2.88
73,1,932,445,2.92
74,1,926,448,2.96
75,1,924,448,3.0
76,1,909,480,3.04
77,1,905,525,3.08
78,1,893,542,3.12
79,1,911,538,3.16
80,1,927,511,3.2
81,1,938,470,3.24
82,1,943,428,3.28
83,1,945,386,3.32
84,1,969,375,3.36
85,1,984,346,3.4
86,1,1003,315,3.44
87,1,1018,298,3.48
88,1,1033,278,3.52
89,1,1046,267,3.56
90,1,1058,256,3.6
91,1,1073,244,3.64
92,1,1082,238,3.68
93,1,1093,234,3.72
94,1,1103,234,3.76
95,1,1112,234,3.8
96,1,1123,238,3.84
97,1,1130,241,3.88
98,1,1138,248,3.92
99,1,1144,256,3.96
100,1,1153,267,4.0
101,1,1160,283,4.04
102,1,1168,296,4.08
103,1,1170,315,4.12
104,1,1178,331,4.16
105,1,1183,353,4.2
106,1,1185,375,4.24
107,1,1193,402,4.28
108,1,1194,421,4.32
109,1,1193,439,4.36
110,1,1193,451,4.4
111,1,1197,465,4.44
112,1,1208,494,4.48
113,1,1209,521,4.52
114,1,1210,552,4.56
115,1,1220,605,4.6
116,0,0,0,4.64
