Frame,Visibility,X,Y,Time
0,1,874,472,0.0
1,1,867,461,0.033333
2,1,866,451,0.066667
3,1,863,439,0.1
4,1,859,434,0.133333
5,1,859,431,0.166667
6,1,858,426,0.2
7,1,852,423,0.233333
8,1,856,420,0.266667
9,1,856,423,0.3
10,1,856,422,0.333333
11,1,855,425,0.366667
12,1,849,430,0.4
13,1,851,434,0.433333
14,1,848,442,0.466667
15,1,848,449,0.5
16,1,848,459,0.533333
17,1,848,459,0.566667
18,1,848,472,0.6
19,1,878,461,0.633333
20,1,912,447,0.666667
21,1,946,430,0.7
22,1,967,423,0.733333
23,1,969,421,0.766667
24,1,990,420,0.8
25,1,1013,418,0.833333
26,1,1033,421,0.866667
27,1,1050,421,0.9
28,1,1070,428,0.933333
29,1,1070,428,0.966667
30,1,1088,435,1.0
31,1,1108,444,1.033333
32,1,1123,455,1.066667
33,1,1138,465,1.1
34,1,1153,481,1.133333
35,1,1155,481,1.166667
36,1,1168,496,1.2
37,1,1183,515,1.233333
38,1,1193,534,1.266667
39,1,1205,555,1.3
40,1,1215,570,1.333333
41,1,1215,568,1.366667
42,1,1209,513,1.4
43,1,1200,483,1.433333
44,1,1200,450,1.466667
45,1,1200,424,1.5
46,1,1200,406,1.533333
47,1,1200,406,1.566667
48,1,1200,391,1.6
49,1,1200,379,1.633333
50,1,1200,369,1.666667
51,1,1200,363,1.7
52,1,1200,360,1.733333
53,1,1200,358,1.766667
54,1,1200,356,1.8
55,1,1200,358,1.833333
56,1,1200,358,1.866667
57,1,1200,361,1.9
58,1,1205,365,1.933333
59,1,1205,367,1.966667
60,1,1205,373,2.0
61,1,1206,384,2.033333
62,1,1209,393,2.066667
63,1,1209,406,2.1
64,1,1209,421,2.133333
65,1,1209,421,2.166667
66,1,1213,435,2.2
67,1,1213,450,2.233333
68,1,1215,470,2.266667
69,1,1215,485,2.3
70,1,1215,504,2.333333
71,1,1215,504,2.366667
72,1,1223,488,2.4
73,1,1228,472,2.433333
74,1,1223,459,2.466667
75,1,1223,455,2.5
76,1,1230,447,2.533333
77,1,1235,447,2.566667
78,1,1235,439,2.6
79,1,1235,435,2.633333
80,1,1235,435,2.666667
81,1,1235,435,2.7
82,1,1235,435,2.733333
83,1,1235,435,2.766667
84,1,1235,444,2.8
85,1,1235,447,2.833333
86,1,1235,459,2.866667
87,1,1235,470,2.9
88,1,1235,481,2.933333
89,1,1235,480,2.966667
90,1,1237,491,3.0
91,1,1238,493,3.033333
92,1,1238,496,3.066667
93,1,1238,499,3.1
94,1,1238,503,3.133333
95,1,1239,508,3.166667
96,1,1238,510,3.2
97,1,1238,523,3.233333
98,1,1238,536,3.266667
99,1,1238,550,3.3
100,1,1238,568,3.333333
101,1,1238,568,3.366667
102,1,1238,585,3.4
103,1,1238,522,3.433333
